agency, firename, lat, lon, startdate, hectares, stage_of_control
bc, K50974, 49.7308, -119.767, 2021-06-28 12:00:00, 1.8, UC
bc, K51032, 49.7149, -119.871, 2021-06-29 12:00:00, 0.3, UC
bc, K71039, 50.2063, -121.562, 2021-06-29 12:00:00, 1.5, BH
bc, V10859, 49.324, -121.283, 2021-06-20 12:00:00, 42, UC
bc, K41049, 50.8325, -119.09, 2021-06-30 12:00:00, 0.2, UC
bc, C31056, 52.2685, -120.896, 2021-06-30 12:00:00, 900, OC
bc, C41090, 51.8312, -121.053, 2021-06-30 12:00:00, 0.009, OC
bc, C41084, 51.3826, -121.159, 2021-06-30 12:00:00, 0.009, OC
bc, C41106, 51.5585, -120.881, 2021-06-30 12:00:00, 0.09, OC
bc, G61122, 55.4032, -122.61, 2021-06-30 12:00:00, 0.009, BH
bc, C31115, 52.5979, -121.086, 2021-06-30 12:00:00, 13.4, OC
bc, G41098, 53.1458, -124.527, 2021-06-30 12:00:00, 0, OC
bc, C41109, 51.5926, -120.88, 2021-06-30 12:00:00, 0.009, OC
bc, V50948, 50.2676, -124.398, 2021-06-27 12:00:00, 2.5, UC
bc, C41140, 51.6825, -120.917, 2021-07-01 12:00:00, 0.009, OC
bc, C41142, 51.6953, -120.917, 2021-07-01 12:00:00, 0.009, OC
bc, K41166, 50.5438, -119.38, 2021-07-01 12:00:00, 0.4, UC
bc, C41104, 51.5688, -120.888, 2021-06-30 12:00:00, 0.3, UC
bc, G41300, 54.0837, -125.011, 2021-07-02 12:00:00, 0, New
bc, N21209, 51.0922, -116.688, 2021-07-01 12:00:00, 0.009, UC
bc, K70804, 50.1775, -121.565, 2021-06-16 12:00:00, 350, Fire of Note
bc, C41249, 51.1075, -121.56, 2021-07-02 12:00:00, 0.09, New
bc, K61230, 50.1786, -120.471, 2021-07-01 12:00:00, 8.5, UC
bc, K21228, 50.7524, -120.298, 2021-07-01 12:00:00, 0.009, UC
bc, C41087, 51.475, -121.117, 2021-06-30 12:00:00, 15.1, BH
bc, C41311, 51.622, -120.92, 2021-07-02 12:00:00, 0.009, New
bc, N11215, 49.6598, -116.114, 2021-07-01 12:00:00, 0.36, UC
bc, K21224, 50.6634, -120.241, 2021-07-01 12:00:00, 15, UC
bc, K41226, 50.8087, -119.295, 2021-07-01 12:00:00, 0.009, OC
bc, N41218, 51.3797, -116.959, 2021-07-01 12:00:00, 1.38, OC
bc, K21252, 51.6439, -119.464, 2021-07-02 12:00:00, 0.1, OC
bc, V70999, 49.2951, -124.774, 2021-06-28 12:00:00, 2, UC
bc, K21253, 51.6171, -119.194, 2021-07-02 12:00:00, 0.009, OC
bc, K71184, 50.7631, -121.953, 2021-07-01 12:00:00, 0.009, UC
bc, C41155, 51.6537, -120.805, 2021-07-01 12:00:00, 15, OC
bc, C41255, 51.7582, -120.912, 2021-07-02 12:00:00, 0.009, OC
bc, K71086, 50.2311, -121.581, 2021-06-30 12:00:00, 6400, Fire of Note
bc, C41093, 51.6054, -121.164, 2021-06-30 12:00:00, 0.009, UC
bc, C41092, 51.4753, -120.831, 2021-06-30 12:00:00, 1, OC
bc, C41088, 51.554, -121.179, 2021-06-30 12:00:00, 6, BH
bc, G51160, 54.8267, -124.194, 2021-07-01 12:00:00, 15, UC
bc, C41139, 51.704, -120.908, 2021-07-01 12:00:00, 4, OC
bc, G80997, 57.4972, -123.016, 2021-06-28 12:00:00, 6000, BH
bc, G61132, 55.3892, -124.584, 2021-06-30 12:00:00, 10, OC
bc, G71138, 54.9433, -121.252, 2021-06-30 12:00:00, 650, Fire of Note
bc, C41121, 51.6514, -120.828, 2021-06-30 12:00:00, 0.9, OC
bc, R11120, 54.3964, -125.442, 2021-06-30 12:00:00, 4.3, UC
bc, K21264, 50.4469, -120.633, 2021-07-02 12:00:00, 0.2, OC
bc, C41127, 52.1121, -120.734, 2021-06-30 12:00:00, 0.009, OC
bc, K21270, 50.7223, -120.209, 2021-07-02 12:00:00, 0.009, UC
bc, K21268, 50.8021, -120.126, 2021-07-02 12:00:00, 0.009, OC
bc, K21273, 50.517, -120.742, 2021-07-02 12:00:00, 0.9, BH
bc, C41339, 51.678, -120.903, 2021-07-03 12:00:00, 0.009, New
bc, K71271, 50.71, -122.224, 2021-07-02 12:00:00, 0.009, UC
bc, C41125, 51.5653, -121.122, 2021-06-30 12:00:00, 4, BH
bc, K51072, 49.7178, -119.868, 2021-06-30 12:00:00, 0.1, UC
bc, K51347, 49.3009, -119.738, 2021-07-03 12:00:00, 0.009, New
bc, C41141, 51.79, -120.853, 2021-07-01 12:00:00, 0.1, UC
bc, N71294, 50.7107, -117.169, 2021-07-02 12:00:00, 0.15, OC
bc, N41303, 50.9879, -118.282, 2021-07-02 12:00:00, 0.009, OC
bc, K21232, 50.6261, -120.724, 2021-07-02 12:00:00, 120, Fire of Note
bc, C31295, 52.3109, -120.905, 2021-07-02 12:00:00, 40, OC
bc, K41276, 50.7202, -118.691, 2021-07-02 12:00:00, 0.1, BH
bc, C41114, 51.8289, -121.133, 2021-06-30 12:00:00, 2.65, BH
bc, K21222, 50.7517, -120.316, 2021-07-01 12:00:00, 0.009, UC
bc, N51314, 50.2783, -117.93, 2021-07-02 12:00:00, 0.009, UC
bc, C41312, 51.6634, -121.086, 2021-07-02 12:00:00, 0.009, OC
bc, K51373, 49.0959, -119.64, 2021-07-03 12:00:00, 0.009, New
bc, C41119, 51.6916, -120.895, 2021-06-30 12:00:00, 10.5, OC
bc, C41143, 51.6425, -120.91, 2021-07-01 12:00:00, 40, OC
bc, R31365, 54.5511, -126.8, 2021-07-03 12:00:00, 0.009, New
bc, C41310, 51.6814, -120.912, 2021-07-02 12:00:00, 33, OC
bc, K71030, 50.8907, -121.901, 2021-06-29 12:00:00, 22439, Fire of Note
bc, K21328, 50.5717, -120.369, 2021-07-02 12:00:00, 3.9, UC
bc, G71248, 55.2901, -121.615, 2021-07-02 12:00:00, 0.3, UC
bc, K21274, 50.7021, -120.036, 2021-07-02 12:00:00, 0.4, UC
bc, G81007, 57.1428, -121.865, 2021-06-28 12:00:00, 4800, BH
bc, V31378, 50.3347, -122.531, 2021-07-04 12:00:00, 0.009, New
bc, G71134, 54.7725, -121.241, 2021-06-30 12:00:00, 180, OC
bc, C41149, 51.6416, -121.118, 2021-07-01 12:00:00, 15, BH
bc, K51041, 49.9205, -118.909, 2021-06-29 12:00:00, 1140, OC
bc, C51290, 52.054, -125.082, 2021-07-02 12:00:00, 85, Fire of Note
bc, C31322, 52.3874, -120.778, 2021-07-02 12:00:00, 0.2, BH
bc, G91077, 58.9688, -121.131, 2021-06-30 12:00:00, 2.7, BH
bc, G91024, 59.7312, -121.186, 2021-06-29 12:00:00, 2, BH
bc, G91067, 59.8236, -124.747, 2021-06-30 12:00:00, 100, OC
bc, G31238, 53.4961, -120.608, 2021-07-02 12:00:00, 0.009, UC
bc, N41221, 51.5881, -117.544, 2021-07-01 12:00:00, 98, OC
bc, G61399, 55.2213, -122.383, 2021-07-04 12:00:00, 0.09, New
bc, C41397, 51.9861, -120.809, 2021-07-04 12:00:00, 0.1, New
bc, N51396, 50.7331, -117.684, 2021-07-04 12:00:00, 0.009, New
bc, N61393, 49.6702, -118.29, 2021-07-04 12:00:00, 0.009, New
bc, R11402, 54.191, -125.663, 2021-07-04 12:00:00, 0.009, New
bc, N41254, 51.6804, -118.573, 2021-07-02 12:00:00, 72, OC
bc, G61318, 56.3577, -125.501, 2021-07-02 12:00:00, 5, UC
bc, K21340, 51.3372, -119.484, 2021-07-03 12:00:00, 0.1, OC
bc, K21338, 51.4272, -119.366, 2021-07-03 12:00:00, 0.1, OC
bc, K21344, 51.6562, -119.865, 2021-07-03 12:00:00, 0.009, OC
bc, K21247, 51.5512, -119.66, 2021-07-02 12:00:00, 2, OC
bc, N41262, 52.0428, -118.643, 2021-07-02 12:00:00, 22, OC
bc, VA1394, 52.49, -126.349, 2021-07-04 12:00:00, 0.009, New
bc, C41407, 51.7472, -121.024, 2021-07-04 12:00:00, 0.009, New
bc, K21251, 51.6324, -119.496, 2021-07-02 12:00:00, 0.6, BH
bc, N51317, 49.6668, -118.112, 2021-07-02 12:00:00, 0.02, BH
bc, K21346, 50.5236, -120.667, 2021-07-03 12:00:00, 0.009, UC
bc, N51393, 49.6752, -118.271, 2021-07-04 12:00:00, 0.009, New
bc, N41299, 50.9613, -118.319, 2021-07-02 12:00:00, 0.009, OC
bc, N41297, 51.2756, -117.013, 2021-07-02 12:00:00, 0.009, OC
bc, K21233, 50.7502, -119.803, 2021-07-02 12:00:00, 0.3, UC
bc, G90986, 59.3182, -120.943, 2021-06-28 12:00:00, 6, UC
bc, C41144, 51.6459, -120.913, 2021-07-01 12:00:00, 23, OC
bc, V81401, 50.2596, -127.095, 2021-07-04 12:00:00, 0.3, New
bc, G31422, 52.2921, -119.144, 2021-07-04 12:00:00, 0.009, New
bc, G31424, 52.2989, -119.101, 2021-07-04 12:00:00, 0.009, New
bc, K21425, 51.8012, -119.77, 2021-07-04 12:00:00, 0.1, New
bc, R21420, 53.7255, -126.99, 2021-07-04 12:00:00, 0.009, New
bc, R31410, 54.463, -127.379, 2021-07-04 12:00:00, 0.01, New
bc, K51356, 49.1472, -119.617, 2021-07-03 12:00:00, 0.009, UC
